Title,Year,Review
Nobody Knows,2004,"One of two works introduced with \"I have two movies to recommend.\" Terribly touching; defeats story-mode distance so events are felt in near mode."
The Third & the Seventh,2009,"A ten-minute all-CG short he watched daily for two weeks-a spectacular photorealistic-CG demonstration relevant to VR and The Age of Em. His post mistitles it \"The Third & The Seven.\""
Once,2007,"He \"fell in love\" with its sincere depiction of people who love music more than money, fame or sex."
Werckmeister Harmonies,2000,"Deeply moving and \"beautiful beyond my words.\""
Unforgiven,1992,"Directly described as \"my fav Unforgiven.\""
"Three Billboards Outside Ebbing, Missouri",2017,"Said it deserved Best Picture, praising its refusal to divide characters cleanly into good and bad."
A.I. Artificial Intelligence,2001,"His most realistic film about AI's economic effects: AIs are valuable, displace jobs, improve gradually and have alien minds humans do not empathize with. The best cinematic companion to The Age of Em."
Star Wars,1977,"The original made a large impression on him as a teenager: \"I loved it.\" He later became critical of its politics."
Scenes from a Marriage,1973,"Highly realistic and instructive interpersonal detail, though painful to watch. He found the first two episodes most realistic."
Her,2013,"Engaging, well-crafted and well-acted; useful for reflection on the human condition. Vehemently not a realistic account of human-level AI's effects."
The Brutalist,2024,"Ranked above twelve other 2024 releases and called engaging and well-made, but \"not satisfying or inspiring.\""
Joker,2019,"Its basic formula is \"quite well-executed,\" with a remarkable performance from Joaquin Phoenix."
Star Trek,2009,"He \"enjoyed it,\" while adding that he did not especially respect himself for doing so."
Still Alice,2014,Mild praise for work-oriented protagonists portrayed as human and sympathetic.
The Wind Rises,2013,Mild praise for work-oriented protagonists portrayed as human and sympathetic.
