Title,Year,Rating,Review
The Invite,,5,
The Devil Wears Prada,,5,
The Truman Show,,5,
The Lord of the Rings: The Fellowship of the Ring,,5,
Resurrection,,5,His best movie of 2025
Let's Play - Uno: The Movie,,5,
Memento,,5,
Kill Bill: The Whole Bloody Affair,,5,His single favorite film
The Departed,,5,
The Naked Gun,2025,5,
Groundhog Day,,5,
Back to the Future Part II,,5,
Back to the Future,,5,
The Matrix,,5,
L.A. Confidential,,5,
The Fall Guy,,5,
Long Day's Journey Into Night,,4.5,
Billie Eilish - Hit Me Hard and Soft: The Tour (Live in 3D),,4.5,
Whiplash,,4.5,
Pulp Fiction,,4.5,
Inside Out 2,,4.5,
Looper,,4.5,
Companion,,4.5,
Barbie,,4.5,
The Martian,,4.5,
Bugonia,,4.5,
A Big Bold Beautiful Journey,,4.5,
Thunderbolts*,,4.5,
Predestination,,4.5,
Anora,,4.5,
Megalopolis,,4.5,
Deadpool & Wolverine,,4.5,
Singin' in the Rain,,4.5,
Weird: The Al Yankovic Story,,4.5,
Harakiri,,4.5,
Challengers,,4.5,
Poor Things,,4.5,
You Hurt My Feelings,,4.5,
May December,,4.5,
Obsession,,4,
Blue Moon,,4,
The Devil Wears Prada 2,,4,
The AI Doc: Or How I Became an Apocaloptimist,,4,
John Wick,,4,
Taylor Tomlinson: Prodigal Daughter,,4,
Bottoms,,4,
Three Colours: Blue,,4,
The King of Kong: A Fistful of Quarters,,4,
Liz Miele: Space Camp,,4,
Marty Supreme,,4,
A Different Man,,4,
Liar Liar,,4,
Hamnet,,4,
"Oh, Hi!",,4,
10 Things I Hate About You,,4,
"Sorry, Baby",,4,
Relay,,4,
Mulholland Drive,,4,
Novocaine,,4,
Inception,,4,
A Complete Unknown,,4,
Daddio,,4,
Conclave,,4,
The Godfather,,4,
Deadpool,,4,
Asteroid City,,4,
Sicario,,4,
The Matrix Reloaded,,4,
The Quick and the Dead,,4,
Moneyball,,4,
12 Angry Men,,4,
Queenpins,,4,
Dune: Part Two,,4,
American Fiction,,4,
In Time,,4,
Godzilla Minus One,,4,
Wild Things,,3.5,
Runaway Bride,,3.5,
Disclosure Day,,3.5,
Pete Holmes: Silly Silly Fun Boy,,3.5,
To Die For,,3.5,
Ready or Not 2: Here I Come,,3.5,
Marcello Hernández: American Boy,,3.5,
Wuthering Heights,,3.5,
Three Colours: White,,3.5,
The Housemaid,,3.5,
Babylon,,3.5,
Is This Thing On?,,3.5,
No Other Choice,,3.5,
Knocked Up,,3.5,
Airplane!,,3.5,
Table 19,,3.5,
Sentimental Value,,3.5,
A House of Dynamite,,3.5,"\"The world would be better if everyone saw\" it"
The Running Man,2025,3.5,
Die My Love,,3.5,
Wick Is Pain,,3.5,
Ballerina,,3.5,
The Layover,,3.5,
Splitsville,,3.5,
Honey Don't!,,3.5,
The Intern,,3.5,
Materialists,,3.5,
Better Man,,3.5,
Bad Words,,3.5,
Shiva Baby,,3.5,
Babygirl,,3.5,
Subservience,,3.5,Recommended for its AI-alignment realism
Wicked,,3.5,
Joker: Folie à Deux,,3.5,
The Substance,,3.5,
The Edge of Seventeen,,3.5,
Edge of Tomorrow,,3.5,
Little Black Book,,3.5,
Seven Samurai,,3.5,
Unfrosted,,3.5,
Hit Man,,3.5,
The Holdovers,,3.5,
Pain Hustlers,,3.5,
Anyone But You,,3.5,
Anatomy of a Fall,,3.5,
Long Shot,,3.5,
Spider-Man: Across the Spider-Verse,,,Best movie he'd seen in years
Spider-Man: Into the Spider-Verse,,,Watch this one first
Oppenheimer,,,Explicitly: see it
Mission: Impossible - Dead Reckoning Part One,,,See it if you enjoy extended action
M3GAN,,,Entertainment and a useful AI reference point
Knives Out,,,Cited as a recent great comedy
Free Guy,,,Cited as a recent great comedy
The Death of Stalin,,,Cited as a recent great comedy
John Wick: Chapter 4,,,"\"Excellent\""
